,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
390,Dan Burn\b2d31e83,eng ENG,DF,Newcastle Utd,eng Premier League,30-002,1992,14.0,29.1,36.1,80.8,603.8,166.9,8.71,10.4,84.1,15.5,17.7,87.5,4.43,6.86,64.6,0.07,0.01,0.06,0.14,1.79,0.07,0.00,1.64,Matches
391,Maxime Busi\7b082ec2,be BEL,DF,Reims,fr Ligue 1,22-209,1999,13.0,38.2,48.7,78.5,684.5,283.0,17.7,20.0,88.5,15.8,19.1,82.7,4.08,7.54,54.1,0.00,0.08,-0.08,1.23,2.54,1.23,0.46,3.69,Matches
392,Gianluca Busio\4a0b7f07,us USA,MF,Venezia,it Serie A,19-348,2002,21.7,34.5,41.7,82.9,698.6,161.1,12.5,14.4,86.9,15.8,17.6,89.8,5.53,7.97,69.4,0.05,0.08,-0.03,0.83,2.95,0.55,0.09,2.49,Matches
393,Oriol Busquets\49712367,es ESP,MF,Clermont Foot,fr Ligue 1,23-111,1999,1.1,59.1,64.5,91.5,1247.3,250.9,22.7,24.5,92.6,21.8,24.5,88.9,14.5,15.5,94.1,0.00,0.00,0.00,0.00,2.73,0.00,0.00,1.82,Matches
394,Sergio Busquets\5ab0ea87,es ESP,MF,Barcelona,es La Liga,33-299,1988,33.5,68.3,77.6,88.0,1327.6,319.0,26.9,29.2,92.1,29.2,32.1,90.9,10.7,13.8,77.7,0.00,0.06,-0.06,0.93,7.10,0.99,0.03,6.27,Matches
395,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,eng Premier League,29-062,1993,6.5,23.8,32.9,72.4,552.2,264.3,6.92,6.92,100.0,12.6,12.9,97.6,4.31,13.1,32.9,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,Matches
396,Adrián Butzke\505dce2b,es ESP,FW,Granada,es La Liga,23-042,1999,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
397,Marcin Bułka\db87a2c4,pl POL,GK,Nice,fr Ligue 1,22-219,1999,1.0,21.0,23.0,91.3,444.0,269.0,8.00,9.00,88.9,10.0,10.0,100.0,3.00,4.00,75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
398,Jamie Bynoe-Gittens\10745192,eng ENG,FW,Dortmund,de Bundesliga,17-276,2004,1.0,22.0,29.0,75.9,344.0,181.0,14.0,18.0,77.8,6.00,8.00,75.0,2.00,3.00,66.7,0.00,0.20,-0.20,3.00,3.00,4.00,1.00,5.00,Matches
399,Sam Byram\1bf811d4,eng ENG,DF,Norwich City,eng Premier League,28-237,1993,9.0,33.9,43.8,77.4,563.2,178.7,16.9,19.8,85.4,13.9,17.3,80.1,2.67,4.78,55.8,0.00,0.02,-0.02,0.44,1.00,0.44,0.00,2.67,Matches
400,Erick Cabaco\e7ab4179,uy URU,DF,Getafe,es La Liga,27-022,1995,4.5,25.3,36.0,70.4,612.7,276.9,7.33,8.67,84.6,10.9,12.7,86.0,7.11,13.8,51.6,0.22,0.09,0.13,0.44,3.11,0.00,0.00,2.67,Matches
401,Willy Caballero\a179d516,ar ARG,GK,Southampton,eng Premier League,40-225,1981,2.0,19.5,29.5,66.1,774.0,604.5,2.00,2.00,100.0,7.00,7.00,100.0,10.5,20.5,51.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
402,Rémy Cabella\148e136f,fr FRA,MFFW,Montpellier,fr Ligue 1,32-064,1990,3.5,50.9,60.9,83.6,792.6,280.3,30.6,34.6,88.4,16.6,19.1,86.6,2.86,4.86,58.8,0.00,0.29,-0.29,2.57,7.14,2.29,0.00,9.71,Matches
403,Jimmy Cabot\46359159,fr FRA,DF,Angers,fr Ligue 1,28-023,1994,22.3,48.8,61.5,79.4,935.2,265.6,20.3,22.9,88.8,22.4,26.5,84.5,5.70,10.2,55.9,0.22,0.11,0.12,0.90,2.47,1.17,0.40,3.54,Matches
404,Jovane Cabral\e34e086c,cv CPV,FW,Lazio,it Serie A,23-331,1998,0.7,20.0,21.4,93.3,371.4,67.1,11.4,11.4,100.0,5.71,7.14,80.0,2.86,2.86,100.0,0.00,0.00,0.00,0.00,1.43,0.00,0.00,1.43,Matches
405,Leandro Cabrera\69cbc8b6,uy URU,DF,Espanyol,es La Liga,30-328,1991,34.0,37.9,49.7,76.3,865.7,390.1,10.4,11.9,86.7,18.3,20.9,87.9,8.56,15.7,54.5,0.00,0.01,-0.01,0.21,3.00,0.06,0.00,2.38,Matches
406,Liberato Cacace\dd86e8e4,nz NZL,DF,Empoli,it Serie A,21-226,2000,4.2,39.8,47.9,83.1,716.4,278.3,18.3,20.0,91.7,16.4,19.0,86.3,4.29,6.67,64.3,0.00,0.00,0.00,0.24,3.10,0.00,0.00,3.57,Matches
407,Martín Cáceres\e94d79e3,uy URU,DF,Cagliari,it Serie A,35-034,1987,9.2,34.6,49.8,69.4,753.7,271.6,11.4,13.7,83.3,15.3,20.0,76.6,7.07,13.7,51.6,0.11,0.04,0.07,0.54,3.37,0.43,0.11,2.83,Matches
408,Martín Cáceres\e94d79e3,uy URU,DF,Levante,es La Liga,35-034,1987,6.9,40.9,49.7,82.2,870.3,284.9,14.8,15.4,96.2,19.9,23.2,85.6,6.09,10.3,59.2,0.00,0.01,-0.01,0.43,3.48,0.87,0.29,3.04,Matches
409,Anthony Caci\0118c54c,fr FRA,DF,Strasbourg,fr Ligue 1,24-314,1997,25.4,48.9,61.9,79.1,1008.5,387.4,18.0,20.4,88.2,21.5,26.0,82.6,8.78,13.6,64.5,0.12,0.14,-0.02,0.98,4.33,1.30,0.55,6.50,Matches
410,Mathieu Cafaro\2a657da0,fr FRA,FWMF,Reims,fr Ligue 1,25-047,1997,2.1,19.5,37.6,51.9,370.0,142.4,7.62,12.4,61.5,9.05,14.8,61.3,2.86,10.5,27.3,0.00,0.14,-0.14,1.43,0.00,2.38,0.95,2.38,Matches
411,Yannick Cahuzac\677ee102,fr FRA,MF,Lens,fr Ligue 1,37-113,1985,6.8,31.9,36.6,87.1,537.2,111.6,14.7,16.3,90.1,13.5,14.9,91.1,2.79,3.68,76.0,0.00,0.01,-0.01,0.15,2.50,0.29,0.00,2.50,Matches
412,Felipe Caicedo\93b891d1,ec ECU,FW,Genoa,it Serie A,33-248,1988,3.2,16.9,24.7,68.4,209.7,29.7,11.6,15.0,77.1,3.44,5.63,61.1,0.31,0.94,33.3,0.63,0.28,0.34,1.88,0.63,0.94,0.00,1.25,Matches
413,Felipe Caicedo\93b891d1,ec ECU,FW,Inter,it Serie A,33-248,1988,0.1,20.0,50.0,40.0,220.0,60.0,0.00,30.0,0.0,10.0,10.0,100.0,0.00,0.00,,0.00,2.00,-2.00,10.0,0.00,10.0,0.00,10.0,Matches
414,Moisés Caicedo\16264a81,ec ECU,MF,Brighton,eng Premier League,20-190,2001,5.7,28.8,34.6,83.2,460.0,105.3,15.1,17.5,86.0,10.2,12.5,81.7,2.63,3.33,78.9,0.18,0.05,0.12,0.70,1.75,0.35,0.00,1.93,Matches
415,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,fr Ligue 1,27-364,1994,15.1,15.7,26.5,59.3,609.7,443.0,1.46,1.46,100.0,6.29,6.36,99.0,7.88,18.6,42.3,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,Matches
416,Jens Cajuste\928a4a61,se SWE,MF,Reims,fr Ligue 1,22-274,1999,3.9,19.0,25.1,75.5,326.2,70.3,8.72,11.3,77.3,7.69,10.3,75.0,1.79,2.56,70.0,0.00,0.03,-0.03,0.51,0.77,0.51,0.00,1.54,Matches
417,Cala\fe05804b,es ESP,DF,Cádiz,es La Liga,32-166,1989,10.3,20.8,28.3,73.3,512.1,146.2,4.47,5.53,80.7,10.4,12.8,81.1,5.83,9.81,59.4,0.00,0.00,0.00,0.10,0.97,0.00,0.00,0.97,Matches
418,Davide Calabria\2146785a,it ITA,DF,Milan,it Serie A,25-156,1996,21.7,42.0,54.9,76.5,806.0,341.9,17.2,19.3,89.2,18.7,22.9,81.7,5.58,10.7,52.2,0.09,0.06,0.03,0.83,4.19,1.15,0.60,4.93,Matches
419,Riccardo Calafiori\aded8e6f,it ITA,DF,Roma,it Serie A,19-357,2002,1.9,35.3,43.7,80.7,612.6,177.4,17.4,19.5,89.2,13.2,14.7,89.3,4.21,7.89,53.3,0.53,0.42,0.11,0.53,0.00,1.05,0.53,1.58,Matches
420,Riccardo Calafiori\aded8e6f,it ITA,DF,Genoa,it Serie A,19-357,2002,0.9,12.2,22.2,55.0,241.1,126.7,2.22,4.44,50.0,10.0,15.6,64.3,0.00,1.11,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,Matches
421,Mattia Caldara\ac7e640b,it ITA,DF,Venezia,it Serie A,28-006,1994,28.0,31.7,38.9,81.5,712.8,244.7,9.04,10.1,89.7,15.6,17.8,88.1,6.89,10.5,65.4,0.00,0.00,0.00,0.04,1.82,0.07,0.00,1.71,Matches
422,Calderón\da4e70e5,es ESP,DF,Betis,es La Liga,22-124,2000,0.7,61.4,67.1,91.5,1145.7,307.1,25.7,27.1,94.7,24.3,28.6,85.0,8.57,8.57,100.0,0.00,0.14,-0.14,1.43,1.43,4.29,1.43,4.29,Matches
423,Fernando Calero\41b3069f,es ESP,DF,Espanyol,es La Liga,26-239,1995,11.3,43.9,51.6,85.1,900.0,348.3,15.3,16.3,94.0,20.8,22.7,91.8,6.99,11.4,61.2,0.00,0.01,-0.01,0.18,2.74,0.00,0.00,2.65,Matches
424,Duje Ćaleta-Car\94f8d10c,hr CRO,DF,Marseille,fr Ligue 1,25-236,1996,21.2,72.4,78.1,92.7,1622.7,436.0,18.8,19.2,97.5,39.7,41.0,96.8,13.5,16.8,80.1,0.00,0.01,-0.01,0.09,4.53,0.28,0.00,3.30,Matches
425,Hakan Çalhanoğlu\cd0fa27b,tr TUR,MF,Inter,it Serie A,28-092,1994,25.6,53.6,65.7,81.6,1087.6,308.0,22.0,24.3,90.5,21.0,24.0,87.5,9.69,15.3,63.3,0.43,0.28,0.15,3.13,5.47,1.88,0.47,5.55,Matches
426,Daniel Caligiuri\d1273f09,it ITA,DFMF,Augsburg,de Bundesliga,34-116,1988,21.3,28.3,41.2,68.7,527.1,242.0,13.5,16.3,82.5,10.2,14.0,72.8,4.13,8.97,46.1,0.09,0.12,-0.02,1.13,2.77,1.13,0.19,3.57,Matches
427,José Callejón\78841da9,es ESP,FW,Fiorentina,it Serie A,35-089,1987,14.1,33.9,43.2,78.5,610.9,157.0,16.4,19.0,86.2,13.2,16.0,82.7,3.97,7.02,56.6,0.14,0.21,-0.07,1.56,1.84,1.49,0.50,3.12,Matches
428,Lucas Calodat\7a72e960,fr FRA,DF,Saint-Étienne,fr Ligue 1,20-094,2002,0.0,2,2,100.0,30,7,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
429,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,eng Premier League,25-056,1997,11.1,12.6,19.5,64.5,151.5,28.4,8.20,11.7,70.0,2.61,4.68,55.8,0.54,0.81,66.7,0.09,0.07,0.02,0.81,0.72,0.36,0.00,0.72,Matches
430,Mahdi Camara\8577e60a,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,23-315,1998,31.1,37.2,44.3,84.1,588.3,162.8,19.4,21.5,90.3,13.7,15.8,86.6,2.64,4.34,60.7,0.00,0.05,-0.05,0.87,2.86,0.29,0.13,2.28,Matches
431,Mamadou Camara\316e70c7,fr FRA,FW,Troyes,fr Ligue 1,21-093,2001,0.4,25.0,30.0,83.3,435.0,5.00,7.50,10.0,75.0,12.5,15.0,83.3,2.50,2.50,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
432,Víctor Camarasa\b2d03887,es ESP,MFFW,Betis,es La Liga,27-348,1994,1.2,39.2,45.8,85.5,740.8,159.2,13.3,16.7,80.0,20.8,21.7,96.2,5.00,5.83,85.7,0.00,0.00,0.00,0.00,2.50,0.83,0.00,1.67,Matches
433,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Rennes,fr Ligue 1,19-182,2002,1.6,42.5,46.9,90.7,919.4,148.8,12.5,16.3,76.9,20.6,21.3,97.1,8.75,8.75,100.0,0.00,0.00,0.00,0.63,3.13,0.63,0.00,1.88,Matches
434,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Real Madrid,es La Liga,19-182,2002,11.7,57.2,63.6,89.9,1108.5,232.1,23.4,25.5,91.9,24.9,27.0,92.1,8.46,9.57,88.4,0.09,0.09,-0.01,0.77,4.44,0.51,0.17,4.10,Matches
435,Andrea Cambiaso\247ed022,it ITA,DF,Genoa,it Serie A,22-080,2000,19.5,35.7,45.7,78.0,597.4,198.3,17.5,19.7,89.1,14.9,18.6,80.4,2.67,5.03,53.1,0.21,0.09,0.11,0.92,1.69,0.92,0.41,2.62,Matches
436,José Campaña\61220da2,es ESP,MF,Levante,es La Liga,28-345,1993,14.2,43.1,53.7,80.3,793.0,285.1,19.0,20.7,91.8,18.1,21.3,85.1,5.28,10.2,51.7,0.07,0.08,-0.01,1.55,4.72,0.99,0.21,5.99,Matches
437,Chem Campbell\6f711f67,wls WAL,MF,Wolves,eng Premier League,19-132,2002,0.1,90.0,100.0,90.0,1100.0,230.0,70.0,80.0,87.5,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
438,Emre Can\a65ce836,de GER,DFMF,Dortmund,de Bundesliga,28-119,1994,18.3,63.6,74.6,85.3,1297.0,385.4,20.7,22.5,92.0,32.5,35.7,91.1,9.62,14.4,66.9,0.05,0.04,0.02,0.27,4.59,0.38,0.00,4.92,Matches
439,Sergio Canales\a6de370d,es ESP,FWMF,Betis,es La Liga,31-084,1991,29.1,50.1,60.4,82.8,927.8,227.6,22.7,25.3,90.1,18.0,20.8,86.9,7.39,10.9,68.0,0.24,0.17,0.07,2.03,4.78,2.10,0.17,5.98,Matches
440,Matteo Cancellieri\b6a1cdf9,it ITA,MFDF,Hellas Verona,it Serie A,20-088,2002,2.3,19.6,27.8,70.3,282.2,90.0,12.6,15.2,82.9,4.78,8.26,57.9,2.17,3.04,71.4,0.00,0.09,-0.09,1.74,2.17,1.30,0.00,1.74,Matches
441,João Cancelo\bd6351cd,pt POR,DF,Manchester City,eng Premier League,27-349,1994,32.9,76.0,90.6,83.8,1363.3,402.8,36.2,39.2,92.2,30.8,35.5,86.9,8.39,13.6,61.5,0.21,0.14,0.07,1.09,7.45,2.64,0.36,7.51,Matches
442,Fali Candé\3cc4bb19,gw GNB,DF,Metz,fr Ligue 1,24-107,1998,8.8,35.3,48.5,72.8,677.6,263.3,15.3,17.4,88.2,15.1,19.0,79.6,4.66,10.3,45.1,0.11,0.14,-0.02,1.02,1.25,0.34,0.34,2.16,Matches
443,Antonio Candreva\356c9002,it ITA,MFFW,Sampdoria,it Serie A,35-072,1987,33.1,37.2,56.1,66.3,752.1,274.6,16.5,19.7,83.7,12.2,17.4,70.4,7.58,16.2,46.7,0.24,0.18,0.06,2.18,3.72,2.15,0.76,5.23,Matches
444,Sergi Canós\1137759d,es ESP,DF,Brentford,eng Premier League,25-098,1997,23.0,19.3,32.1,60.3,342.3,145.8,9.74,12.3,78.9,6.78,10.2,66.7,2.39,7.04,34.0,0.09,0.08,0.00,0.74,1.87,1.13,0.43,3.30,Matches
445,Álex Cantero\4aa253fd,es ESP,FWMF,Levante,es La Liga,21-337,2000,4.7,13.4,18.9,70.8,208.9,71.7,7.23,9.36,77.3,4.89,6.38,76.7,0.64,1.49,42.9,0.21,0.09,0.13,0.43,0.43,1.06,0.64,2.34,Matches
446,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,eng Premier League,24-073,1998,4.9,25.9,31.4,82.5,424.1,93.3,12.4,14.3,87.1,10.2,12.2,83.3,2.24,3.27,68.8,0.00,0.04,-0.04,0.41,1.84,0.41,0.00,2.04,Matches
447,Pierrick Capelle\79b2399c,fr FRA,MFDF,Angers,fr Ligue 1,35-026,1987,12.6,35.1,42.3,82.9,637.9,181.1,14.6,16.8,86.8,16.0,18.3,87.0,3.81,5.32,71.6,0.08,0.06,0.02,0.95,2.30,0.24,0.16,2.54,Matches
448,Leonardo Capezzi\07ea0ef2,it ITA,MF,Salernitana,it Serie A,27-044,1995,1.9,21.6,25.3,85.4,375.8,110.5,10.0,12.1,82.6,8.95,9.47,94.4,2.11,2.63,80.0,0.00,0.00,0.00,0.00,1.05,0.53,0.00,1.58,Matches
449,Étienne Capoue\5acc4a10,fr FRA,MF,Villarreal,es La Liga,33-304,1988,22.6,49.0,55.5,88.3,907.7,214.2,20.8,22.2,93.8,22.6,25.1,90.1,5.09,6.95,73.2,0.04,0.04,0.00,0.22,5.40,0.44,0.00,4.34,Matches
450,Gianluca Caprari\54e53b7e,it ITA,FWMF,Hellas Verona,it Serie A,28-285,1993,28.5,32.0,42.5,75.5,497.0,137.2,17.7,20.1,87.8,10.3,13.3,77.6,2.63,5.79,45.5,0.25,0.23,0.01,2.21,2.04,2.18,0.21,4.04,Matches
451,Francesco Caputo\5bd72174,it ITA,FW,Sampdoria,it Serie A,34-278,1987,29.7,14.4,19.2,74.9,208.1,26.7,8.38,10.7,78.5,4.58,5.82,78.6,0.81,1.35,60.0,0.10,0.11,-0.01,1.25,0.64,0.51,0.07,0.88,Matches
452,Francesco Caputo\5bd72174,it ITA,FW,Sassuolo,it Serie A,34-278,1987,1.7,16.5,20.6,80.0,215.9,20.6,9.41,11.8,80.0,5.88,6.47,90.9,0.00,0.00,,0.59,0.24,0.35,1.76,0.59,0.59,0.00,1.18,Matches
453,Maxence Caqueret\f81ef10d,fr FRA,MF,Lyon,fr Ligue 1,22-085,2000,24.6,50.9,59.1,86.2,867.2,236.8,25.2,28.4,88.6,19.1,21.3,90.1,5.12,6.75,75.9,0.00,0.07,-0.07,1.02,5.53,0.65,0.04,5.28,Matches
454,Andrea Carboni\f7e2af2c,it ITA,DF,Cagliari,it Serie A,21-096,2001,23.5,32.3,43.1,75.1,643.4,228.5,11.8,13.1,90.3,15.2,18.6,81.9,4.81,9.83,48.9,0.00,0.00,-0.00,0.13,2.85,0.47,0.17,3.02,Matches
455,Isaac Carcelen\c4b888df,es ESP,DFMF,Cádiz,es La Liga,29-018,1993,15.8,31.5,42.0,75.0,598.5,223.0,12.5,14.6,85.3,14.8,17.7,83.6,3.80,7.97,47.6,0.00,0.02,-0.02,0.57,2.47,0.57,0.32,2.78,Matches
456,Cárdenas\e1846dde,es ESP,GK,Levante,es La Liga,25-044,1997,22.0,20.2,29.9,67.6,569.5,346.0,4.55,4.59,99.0,7.68,7.77,98.8,7.18,16.7,43.1,0.00,0.00,0.00,0.05,0.59,0.00,0.00,0.00,Matches
457,Irvin Cardona\5e080f73,fr FRA,FWMF,Brest,fr Ligue 1,24-276,1997,13.3,14.1,21.3,66.4,208.7,51.9,8.12,10.8,75.5,4.66,6.24,74.7,0.83,2.71,30.6,0.15,0.16,-0.01,1.13,0.53,0.30,0.08,1.05,Matches
458,Igor Carioca\e3e32fbb,br BRA,DF,Lorient,fr Ligue 1,25-263,1996,16.7,32.9,43.3,76.1,586.4,210.5,14.7,17.5,84.2,14.6,18.3,79.4,3.11,5.27,59.1,0.00,0.07,-0.07,0.78,1.98,0.66,0.48,2.69,Matches
459,Carlo\8249ff06,es ESP,MF,Villarreal,es La Liga,21-088,2001,0.1,40.0,40.0,100.0,860.0,240.0,0.00,0.00,,40.0,40.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,10.0,10.0,0.00,20.0,Matches
460,Diego Carlos\b4a014b1,br BRA,DF,Sevilla,es La Liga,29-057,1993,30.4,57.1,64.7,88.4,1357.6,386.8,13.3,13.9,96.0,30.8,32.3,95.5,12.6,17.7,71.0,0.00,0.01,-0.01,0.10,2.93,0.26,0.00,2.50,Matches
461,Carmona\2dce876a,es ESP,DF,Sevilla,es La Liga,20-102,2002,0.3,20.0,40.0,50.0,526.7,163.3,3.33,6.67,50.0,6.67,16.7,40.0,10.0,13.3,75.0,0.00,0.00,0.00,0.00,6.67,0.00,0.00,3.33,Matches
462,Yannick Carrasco\de39485a,be BEL,DFMF,Atlético Madrid,es La Liga,28-249,1993,25.8,34.7,45.3,76.5,541.8,176.9,19.7,22.6,86.8,11.2,14.4,78.2,2.52,5.58,45.1,0.19,0.20,-0.00,1.94,1.86,1.71,0.31,3.41,Matches
463,Guido Carrillo\8f898ba8,ar ARG,FW,Elche,es La Liga,30-351,1991,11.3,16.4,24.2,67.5,219.2,38.3,9.38,12.7,73.6,4.87,7.08,68.8,0.62,1.95,31.8,0.00,0.02,-0.02,0.35,0.97,0.35,0.09,0.97,Matches
464,Dani Carvajal\4958bfb2,es ESP,DF,Real Madrid,es La Liga,30-120,1992,15.9,61.3,71.2,86.0,1094.2,297.2,27.7,30.3,91.5,24.6,28.1,87.7,7.74,10.3,75.0,0.19,0.14,0.05,1.45,2.70,1.57,0.44,4.09,Matches
465,William Carvalho\dee86451,pt POR,MF,Betis,es La Liga,30-034,1992,18.8,57.0,64.5,88.4,1045.3,266.6,25.4,28.1,90.2,22.9,24.8,92.1,7.66,9.52,80.4,0.16,0.08,0.08,1.06,7.29,1.12,0.00,6.70,Matches
466,Nicolò Casale\3f5f38fb,it ITA,DF,Hellas Verona,it Serie A,24-086,1998,27.1,33.9,41.0,82.6,650.1,222.2,12.3,14.1,87.2,15.9,18.3,87.3,4.80,6.97,68.8,0.04,0.05,-0.01,0.41,2.25,0.41,0.18,2.62,Matches
467,Casemiro\4d224fe8,br BRA,MF,Real Madrid,es La Liga,30-077,1992,27.0,59.6,69.2,86.1,1221.7,335.7,22.9,25.4,90.1,24.0,27.4,87.8,11.3,13.9,81.1,0.11,0.09,0.02,0.89,6.52,0.70,0.07,5.30,Matches
468,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,eng Premier League,24-277,1997,34.5,29.6,42.0,70.5,558.3,217.9,12.6,14.6,86.5,12.5,15.7,79.4,3.91,10.0,39.1,0.09,0.06,0.03,0.70,1.83,0.78,0.38,2.46,Matches
469,Kiko Casilla\58bc7d18,es ESP,GK,Elche,es La Liga,35-221,1986,12.0,21.8,33.9,64.1,704.2,462.2,3.58,3.58,100.0,8.42,8.58,98.1,9.42,21.3,44.1,0.00,0.01,-0.01,0.17,0.17,0.00,0.00,0.00,Matches
470,Moreto Cassamã\f54d2149,gw GNB,MF,Reims,fr Ligue 1,24-084,1998,8.9,40.0,48.8,82.0,820.7,196.9,15.3,17.4,87.7,16.9,18.5,90.9,7.30,10.9,67.0,0.00,0.06,-0.06,1.01,4.27,0.79,0.00,4.38,Matches
471,Francesco Cassata\96960855,it ITA,MF,Genoa,it Serie A,24-299,1997,0.1,10.0,10.0,100.0,500.0,40.0,0.00,0.00,,0.00,0.00,,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
472,Timothy Castagne\197640fd,be BEL,DF,Leicester City,eng Premier League,26-157,1995,19.9,45.1,54.7,82.5,769.9,273.2,22.1,25.0,88.5,18.8,22.3,84.5,3.72,5.78,64.3,0.00,0.05,-0.05,0.55,2.81,0.50,0.20,2.86,Matches
473,Koen Casteels\db401046,be BEL,GK,Wolfsburg,de Bundesliga,29-320,1992,27.0,29.8,38.2,78.0,914.4,523.7,4.44,4.48,99.2,13.6,13.7,99.2,11.7,19.9,58.9,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.04,Matches
474,Jean-Charles Castelletto\e0f3a1f6,cm CMR,DF,Nantes,fr Ligue 1,27-105,1995,24.9,37.5,42.7,87.9,772.1,267.6,12.4,13.5,92.5,19.2,20.8,92.1,5.46,7.63,71.6,0.00,0.00,-0.00,0.20,3.41,0.12,0.04,2.61,Matches
475,Samu Castillejo\130a7a3f,es ESP,FWMF,Milan,it Serie A,27-113,1995,1.4,40.0,48.6,82.4,734.3,167.9,20.7,22.1,93.5,9.29,10.0,92.9,9.29,13.6,68.4,0.00,0.14,-0.14,1.43,2.14,2.86,2.14,2.86,Matches
476,Gonzalo Castro\68829001,de GER,MFFW,Arminia,de Bundesliga,34-334,1987,4.8,23.5,36.0,65.3,425.2,125.6,10.6,12.7,83.6,8.96,11.7,76.8,2.92,7.71,37.8,0.21,0.06,0.15,1.04,2.71,0.42,0.21,2.29,Matches
477,Jonny Castro\e28868f3,es ESP,DF,Wolves,eng Premier League,28-069,1994,8.4,43.5,53.1,81.8,727.9,223.0,21.8,24.6,88.4,16.8,20.1,83.4,3.93,5.71,68.8,0.00,0.10,-0.10,0.95,1.67,0.95,0.36,2.98,Matches
478,Gaetano Castrovilli\0728bebe,it ITA,MF,Fiorentina,it Serie A,25-083,1997,15.5,26.5,35.5,74.4,478.6,125.9,11.5,13.7,84.0,11.4,14.1,80.7,2.77,5.48,50.6,0.06,0.10,-0.04,0.97,1.81,1.42,0.06,3.68,Matches
479,Danilo Cataldi\ba3d3bea,it ITA,MF,Lazio,it Serie A,27-278,1994,17.4,62.2,72.3,86.0,1115.4,325.8,29.2,31.1,93.7,24.9,28.2,88.6,7.07,11.3,62.4,0.06,0.11,-0.05,0.86,5.46,0.86,0.00,4.31,Matches
480,Catena\274ab13c,es ESP,DF,Rayo Vallecano,es La Liga,27-195,1994,33.0,37.8,45.8,82.4,974.2,366.4,7.88,8.97,87.8,17.9,19.7,90.9,11.6,16.4,70.8,0.06,0.02,0.04,0.21,2.48,0.06,0.00,2.15,Matches
481,Craig Cathcart\89e4b358,nir NIR,DF,Watford,eng Premier League,33-094,1989,25.6,27.9,34.5,81.0,658.9,187.7,6.76,7.66,88.3,14.6,16.8,87.0,6.37,9.49,67.1,0.04,0.01,0.03,0.08,1.72,0.20,0.04,1.56,Matches
482,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,eng Premier League,35-086,1987,7.5,21.2,26.7,79.5,310.4,36.5,13.6,15.5,87.9,5.60,7.73,72.4,1.07,2.13,50.0,0.13,0.16,-0.03,0.80,0.53,0.13,0.00,0.93,Matches
483,Dani Ceballos\c0617e2b,es ESP,MF,Real Madrid,es La Liga,25-277,1996,2.5,79.6,87.2,91.3,1513.6,372.0,34.0,36.4,93.4,32.4,34.4,94.2,11.6,14.0,82.9,0.00,0.04,-0.04,0.80,5.20,2.00,0.40,4.40,Matches
484,Pietro Ceccaroni\4d1efb48,it ITA,DF,Venezia,it Serie A,26-141,1995,32.7,41.3,49.7,83.1,839.0,323.7,12.3,13.6,90.1,23.3,25.4,91.6,5.47,9.66,56.6,0.03,0.01,0.02,0.15,2.14,0.18,0.12,2.17,Matches
485,Federico Ceccherini\d9624b51,it ITA,DF,Hellas Verona,it Serie A,30-000,1992,24.9,37.9,46.9,80.9,730.0,262.7,14.7,17.3,85.1,16.9,19.1,88.2,5.50,8.84,62.3,0.00,0.03,-0.03,0.32,2.97,0.24,0.00,3.25,Matches
486,Emil Ceide\98a84572,no NOR,FWDF,Sassuolo,it Serie A,20-250,2001,0.5,18.0,36.0,50.0,222.0,104.0,8.00,14.0,57.1,8.00,12.0,66.7,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,6.00,Matches
