Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
637,Konrad De La Fuente,us USA,FWDF,Marseille,fr Ligue 1,20-299,2001,8.7,0.11,0,0,0.34,0.69,0.11,2.87,0.69,0.92,0,0,0,4.25,0.46,0.8,36.4,Matches
638,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,35-067,1987,2,0,0,0,2.5,0,0,0,2.5,1,0,0,0,13.5,1,1.5,40,Matches
639,Tommaso De Nipoti,it ITA,MF,Atalanta,it Serie A,18-292,2003,0.1,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,100,Matches
640,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,27-352,1994,21.3,0.33,0,0,2.21,3.05,0,1.46,1.27,1.17,0,0,0,8.83,0.47,1.17,28.6,Matches
641,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,29-203,1992,13,0.15,0.08,0,1.23,0.62,0,2.54,2,0.85,0,0.08,0,8.08,1.31,1.08,54.8,Matches
642,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,33-353,1988,23.7,0.3,0,0,1.31,1.1,0.08,1.98,1.14,0.55,0.04,0,0,7.22,3.5,2.32,60.1,Matches
643,Saulo Decarli,ch SUI,DF,Bochum,de Bundesliga,30-096,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,50,Matches
644,Troy Deeney,eng ENG,FW,Watford,eng Premier League,33-316,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,10,57.1,Matches
645,Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,30-328,1991,14.8,0.2,0,0,1.08,1.42,0.2,0,0.41,1.08,0,0,0,4.32,1.08,2.77,28.1,Matches
646,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,26-283,1995,23,0.22,0,0,2.04,1.17,0.04,0.43,1.57,1.04,0,0,0,9.65,2.09,1.61,56.5,Matches
647,Romain Del Castillo,fr FRA,FWMF,Brest,fr Ligue 1,26-043,1996,9.9,0.1,0.1,0,1.52,2.32,0,2.73,1.31,1.72,0.1,0,0,9.39,0.51,1.01,33.3,Matches
648,Romain Del Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,26-043,1996,0.3,0,0,0,0,6.67,0,0,3.33,3.33,0,0,0,6.67,0,3.33,0,Matches
649,Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,30-048,1992,25.5,0.12,0,0,0.94,0.59,0.04,3.53,1.61,1.06,0,0,0,5.69,0.27,0.86,24.1,Matches
650,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,30-250,1991,0.2,0,0,0,0,5,0,0,5,0,0,0,0,25,0,0,,Matches
651,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,30-250,1991,14.8,0.27,0.07,0.07,1.55,1.55,0.07,0.61,1.22,1.35,0,0,0,10.4,3.85,2.09,64.8,Matches
652,Liam Delap,eng ENG,FW,Manchester City,eng Premier League,19-092,2003,0.1,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,,Matches
653,Sacha Delaye,fr FRA,FWMF,Montpellier,fr Ligue 1,20-018,2002,1.4,0,0,0,2.14,0.71,0,4.29,0.71,0.71,0,0,0,9.29,0.71,4.29,14.3,Matches
654,Filippo Delli Carri,it ITA,DF,Salernitana,it Serie A,23-008,1999,3.7,0.27,0,0,0.54,0.81,0,0.81,1.89,1.35,0,0,0,6.76,0.81,0.81,50,Matches
655,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,30-214,1991,24.2,0.12,0,0,1.36,1.74,0.54,1.82,0.5,0.37,0,0,0,3.93,3.18,3.97,44.5,Matches
656,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,30-214,1991,3,0,0,0,2,1,0,2.67,0,0.67,0,0,0,4.33,2,3,40,Matches
657,Fabian Delph,eng ENG,MF,Everton,eng Premier League,32-171,1989,6.5,0.31,0,0,1.54,0.92,0,0.15,2.77,1.54,0,0,0,10.3,0.31,0.31,50,Matches
658,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,25-303,1996,22.8,0.22,0,0,1.14,0.79,0.39,0.35,0.35,0.39,0.13,0,0,3.86,2.72,2.76,49.6,Matches
659,Ousmane Dembélé,fr FRA,FWDF,Barcelona,es La Liga,24-361,1997,15.3,0.2,0,0,0.65,1.76,0.26,6.08,0.72,1.18,0,0,0,4.97,0.33,0.52,38.5,Matches
660,Yusuf Demir,at AUT,FW,Barcelona,es La Liga,18-343,2003,2.1,0,0,0,0.48,1.9,0,0.48,0,0.48,0,0,0,8.57,0.48,0.95,33.3,Matches
661,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,24-067,1998,21.1,0.38,0,0,1.33,0.76,0.14,0.05,2.56,1.18,0,0.05,0,9.24,4.55,1.8,71.6,Matches
662,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,28-312,1993,22.8,0.44,0,0,1.62,1.4,0.13,1.18,2.24,1.71,0,0,0,10,0.57,0.96,37.1,Matches
663,Ermedin Demirovi?,ba BIH,FWMF,Freiburg,de Bundesliga,24-047,1998,9.5,0.42,0,0,3.05,0.84,1.26,0.84,0.32,0.42,0,0,0,5.16,2.11,5.26,28.6,Matches
664,Diego Demme,de GER,MF,Napoli,it Serie A,30-171,1991,6.7,0.6,0,0,3.28,1.34,0,0.75,1.79,1.79,0,0,0,10.1,0.9,0.6,60,Matches
665,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,26-317,1995,11.1,0.18,0,0,0.72,0.45,0,0.09,1.62,0.54,0,0.09,0,6.67,1.62,1.89,46.2,Matches
666,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,27-026,1995,19.7,0.2,0,0,0.96,0.3,0,0.46,1.12,1.17,0,0,0,8.38,1.93,1.83,51.4,Matches
667,Emmanuel Dennis,ng NGA,FWMF,Watford,eng Premier League,24-177,1997,28.7,0.31,0.03,0.03,2.4,1.64,0.42,1.01,0.87,0.98,0.03,0,0,5.75,2.06,3.55,36.6,Matches
668,Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,25-017,1997,7,0.43,0,0,2.86,1.14,0.43,3.29,1.14,0.71,0,0,0,7.57,1,1.71,36.8,Matches
669,Fabio Depaoli,it ITA,MFDF,Sampdoria,it Serie A,25-017,1997,1.2,0.83,0,0,6.67,0.83,0,1.67,1.67,0,0,0,0,5.83,0.83,2.5,25,Matches
670,Memphis Depay,nl NED,FW,Barcelona,es La Liga,28-087,1994,19.6,0.15,0,0,1.17,2.7,0.66,3.01,0.36,0.36,0.15,0,0,4.54,0.92,1.22,42.9,Matches
671,Mike van der Hoorn,nl NED,DF,Arminia,de Bundesliga,29-208,1992,0.2,0,0,0,0,5,0,0,0,10,0,0,0,0,5,0,100,Matches
672,Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,28-034,1994,14.5,0,0,0,0,0.21,0,0,0,0,0,0,0.07,4.21,0,0,,Matches
673,Sergiño Dest,us USA,DFFW,Barcelona,es La Liga,21-189,2000,16.8,0.12,0,0,1.01,1.61,0.06,3.33,1.01,1.43,0,0,0,6.49,0.65,0.83,44,Matches
674,Mattia Destro,it ITA,FW,Genoa,it Serie A,31-052,1991,19.2,0.21,0,0,2.29,1.77,1.04,0.26,0.31,0.42,0,0,0,3.23,3.59,6.72,34.8,Matches
675,Gerard Deulofeu,es ESP,FWMF,Udinese,it Serie A,28-059,1994,27.6,0.33,0,0,0.91,1.2,1.09,2.97,0.94,0.33,0.04,0,0,4.82,0.04,1.05,3.3,Matches
676,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,eng Premier League,23-247,1998,19.7,0.2,0,0,1.27,1.88,0,2.18,1.32,1.17,0,0,0,9.49,1.12,1.22,47.8,Matches
677,Jacopo Dezi,it ITA,MF,Venezia,it Serie A,30-090,1992,0.2,0,0,0,0,0,0,5,5,0,0,0,0,25,5,0,100,Matches
678,Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,33-233,1988,0.4,2.5,0,0,2.5,5,0,0,0,0,0,0,0,5,0,2.5,0,Matches
679,Federico Di Francesco,it ITA,FWMF,Empoli,it Serie A,27-331,1994,14.9,0.13,0,0,2.35,1.88,0.87,2.15,0.67,0.67,0.07,0,0,5.1,0.34,1.81,15.6,Matches
680,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,28-280,1993,30.9,0.1,0,0,1.42,1.55,0.26,1.46,1.42,1.39,0.03,0,0,7.41,1.62,0.91,64.1,Matches
681,Ángel Di María,ar ARG,FW,Paris S-G,fr Ligue 1,34-086,1988,16.5,0.12,0,0,0.48,0.91,0.42,3.7,0.91,0.67,0.06,0,0,5.15,0.06,0.06,50,Matches
682,Francesco Di Mariano,it ITA,FW,Venezia,it Serie A,26-021,1996,0.7,0,0,0,1.43,1.43,0,2.86,0,1.43,0,0,0,0,0,1.43,0,Matches
683,Francesco Di Tacchio,it ITA,MF,Salernitana,it Serie A,32-021,1990,13.9,0.22,0,0,2.16,2.01,0,0.22,2.59,0.79,0,0,0.07,10.3,1.29,1.37,48.6,Matches
684,Boulaye Dia,sn SEN,FW,Villarreal,es La Liga,25-176,1996,13.1,0.23,0,0,1.68,1.45,0.53,0.46,0.69,0.53,0,0,0,2.82,2.29,2.44,48.4,Matches
685,Moussa Diaby,fr FRA,FW,Leverkusen,de Bundesliga,22-308,1999,29.7,0.3,0.03,0.03,1.31,0.94,0.57,2.83,0.71,0.34,0,0,0,5.72,0.34,0.91,27,Matches
686,Yadaly Diaby,fr FRA,FWMF,Clermont Foot,fr Ligue 1,21-275,2000,0.7,1.43,1.43,0,1.43,1.43,0,0,4.29,0,0,0,0,5.71,1.43,1.43,50,Matches
687,Mouctar Diakhaby,fr FRA,DF,Valencia,es La Liga,25-143,1996,20.7,0.53,0,0,1.35,0.68,0.05,0.14,2.61,1.55,0,0.05,0.1,9.61,1.98,1.5,56.9,Matches
688,Ibrahim Diakité,fr FRA,MF,Reims,fr Ligue 1,18-192,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
689,Abdou Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,26-007,1996,9.7,0.1,0,0,1.24,0.31,0,1.44,1.34,1.86,0,0,0,5.98,1.55,0.41,78.9,Matches
690,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,26-327,1995,16.2,0.12,0,0,1.17,1.67,0.93,0.49,0.31,0.37,0,0,0,4.2,3.21,3.89,45.2,Matches
691,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,23-064,1999,10.6,0.09,0,0,1.13,1.6,0,0.66,1.42,1.79,0,0,0,8.87,1.13,1.42,44.4,Matches
692,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,18-128,2004,1.2,0.83,0,0,1.67,0.83,0,0,2.5,2.5,0,0,0,7.5,0.83,1.67,33.3,Matches
693,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,23-153,1998,5.8,0.34,0,0,1.03,1.38,0.34,2.59,1.72,1.55,0.17,0,0,5.69,0.34,1.38,20,Matches
694,Raphael Dias Belloli,br BRA,FWMF,Leeds United,eng Premier League,25-148,1996,29.5,0.24,0,0,1.59,1.63,0.44,2.81,1.36,0.78,0,0.03,0,6.54,0.75,1.02,42.3,Matches
695,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,24-362,1997,26.7,0.19,0,0,1.12,0.37,0.07,0.19,1.42,1.01,0,0,0,8.13,1.99,1.35,59.6,Matches
696,Krepin Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,23-075,1999,3.2,0,0,0,0.94,2.5,0,1.25,0.94,1.25,0,0,0,7.81,2.81,0.94,75,Matches
697,Amadou Diawara,gn GUI,MF,Roma,it Serie A,24-298,1997,1.9,0,0,0,3.16,0,0,0,0,1.05,0,0,0,10,1.05,0,100,Matches
698,Brahim Díaz,es ESP,MF,Milan,it Serie A,22-281,1999,20.4,0.2,0,0,1.18,1.72,0.2,0.78,0.59,1.32,0,0,0,6.47,0.34,2.35,12.7,Matches
699,Javier Díaz,es ESP,GK,Sevilla,es La Liga,24-361,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
700,Luis Díaz,co COL,FW,Liverpool,eng Premier League,25-118,1997,9.6,0,0,0,1.67,2.19,0.31,1.98,0.42,0.94,0,0,0,7.5,0.94,2.92,24.3,Matches
701,Víctor Díaz,es ESP,DF,Granada,es La Liga,33-333,1988,14.7,0.34,0,0,0.88,0.34,0,0.61,1.63,0.68,0,0,0,8.91,2.04,2.24,47.6,Matches
702,Daniel Didavi,de GER,FWMF,Stuttgart,de Bundesliga,32-079,1990,3.1,0.32,0,0,0.97,1.94,0.65,1.61,0.32,0.32,0,0,0,5.81,0.65,2.26,22.2,Matches
703,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,22-049,2000,10.5,0,0.1,0,1.14,1.43,0.29,0.57,0.67,1.24,0.19,0,0,2.95,1.52,1.52,50,Matches
704,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,28-116,1994,31.1,0.03,0,0,0.55,0.39,0,0.06,1.25,0.39,0,0,0.03,6.98,2.51,1.41,63.9,Matches
705,Elhadji Dieye,sn SEN,MFFW,Saint-Étienne,fr Ligue 1,19-340,2002,0.4,0,0,0,2.5,5,2.5,2.5,5,5,0,0,0,5,2.5,0,100,Matches
706,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,28-295,1993,11.1,0.18,0,0,1.71,1.71,0.18,4.23,1.89,0.81,0,0,0,8.92,1.8,1.26,58.8,Matches
707,Lucas Digne,fr FRA,DF,Everton,eng Premier League,28-295,1993,13,0.31,0,0,1.31,0.85,0,2.62,2.38,1.31,0,0,0.08,10.6,1.92,1.08,64.1,Matches
708,Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,30-307,1991,34,0.09,0,0,0.29,0.35,0,0,1.41,0.35,0,0,0,12.1,3.97,1.18,77.1,Matches
709,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,29-091,1993,6.5,0.31,0,0,1.23,0.92,0,2.31,1.38,1.85,0,0,0,5.08,0.92,0.62,60,Matches
710,Javairô Dilrosun,nl NED,FW,Hertha BSC,de Bundesliga,23-323,1998,1.5,0,0,0,2,2,0,0,1.33,0.67,0,0,0,6.67,0,1.33,0,Matches
711,Javairô Dilrosun,nl NED,MFFW,Bordeaux,fr Ligue 1,23-323,1998,17.4,0.17,0,0,0.75,1.95,0.06,1.32,1.09,0.52,0,0,0,4.54,0.4,0.46,46.7,Matches
712,Federico Dimarco,it ITA,DF,Inter,it Serie A,24-182,1997,15.5,0.06,0,0,1.1,0.77,0.13,3.61,1.74,0.77,0,0,0,8.58,0.52,1.1,32,Matches
713,Landry Dimata,be BEL,FWMF,Espanyol,es La Liga,24-252,1997,6,0,0,0,2.33,4.17,0.5,0.17,0.5,0.33,0,0,0,2.83,3,5.17,36.7,Matches
714,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,28-137,1993,28.8,0,0,0,0,0.24,0,0,0,0,0,0,0,5.17,0,0,,Matches
715,Junior Dina Ebimbe,fr FRA,MF,Paris S-G,fr Ligue 1,21-171,2000,3.5,0.57,0,0,3.14,1.43,0,0.29,1.14,1.71,0,0,0,6.57,0.29,0.29,50,Matches
716,Tristan Dingomé,cm CMR,MFFW,Troyes,fr Ligue 1,31-083,1991,12,0.25,0,0,1.25,1.42,0.08,1.83,1.42,1,0.08,0,0,7.83,0.75,0.83,47.4,Matches
717,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21-032,2001,6.4,0.31,0,0,0.94,0.63,0,0,2.81,0.63,0,0,0.16,6.25,2.97,1.41,67.9,Matches
718,Issa Diop,fr FRA,DF,West Ham,eng Premier League,25-122,1997,10.7,0,0,0,0.56,0.47,0.09,0.09,1.59,0.28,0,0,0,8.97,1.78,1.87,48.7,Matches
719,Sofiane Diop,fr FRA,MFFW,Monaco,fr Ligue 1,21-336,2000,21.6,0.28,0,0,1.25,2.13,0.19,2.31,1.53,0.93,0.05,0.05,0,6.85,0.83,1.48,36,Matches
720,Andy Diouf,fr FRA,MF,Rennes,fr Ligue 1,19-359,2002,0.2,0,0,0,5,5,0,0,0,5,0,0,0,15,0,5,0,Matches
721,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,24-233,1997,0.3,0,0,0,0,3.33,0,0,0,0,0,0,0,30,6.67,0,100,Matches
722,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,24-061,1998,28.2,0.18,0,0,1.6,0.43,0.11,0.07,2.06,0.92,0,0.04,0,9.43,2.66,1.28,67.6,Matches
723,Filippo Distefano,it ITA,FW,Fiorentina,it Serie A,18-256,2003,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,Matches
724,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,35-003,1987,36,0.03,0,0,0.03,0.06,0,0,0,0,0,0,0,5.25,0,0,,Matches
725,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-032,2000,23.9,0.17,0,0,1.26,0.96,0.04,0.25,1.26,1.59,0,0,0.08,8.79,0.96,1.21,44.2,Matches
726,Djené,tg TOG,DF,Getafe,es La Liga,30-131,1991,31.6,0.32,0.03,0,1.42,1.17,0.03,0.35,2.82,1.08,0,0.06,0,10.8,2.12,1.08,66.3,Matches
727,Moussa Djenepo,ml MLI,MF,Southampton,eng Premier League,23-330,1998,4.9,0.61,0,0,2.45,2.24,0,1.22,1.84,1.63,0,0,0,10.8,0.41,1.43,22.2,Matches
728,Koffi Djidji,ci CIV,DF,Torino,it Serie A,29-162,1992,18.9,0.32,0.05,0.05,1.38,0.32,0.05,0.58,2.54,1.06,0,0.11,0,9.95,2.7,2.06,56.7,Matches
729,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,27-275,1994,27.9,0.36,0.04,0.04,1.61,1,0.07,0.39,2.65,1.4,0,0.07,0,8.35,2.44,0.97,71.6,Matches
730,Bryan Djile Nokoué,cm CMR,DFMF,Saint-Étienne,fr Ligue 1,19-353,2002,0.6,0,0,0,0,1.67,0,1.67,1.67,3.33,0,0,0,8.33,0,0,,Matches
731,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,29-081,1993,23.1,0.26,0,0,1,0.65,0.04,0.39,2.08,1.3,0,0.04,0.04,10.6,3.2,0.95,77.1,Matches
732,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,24-019,1998,21.5,0.05,0,0,0.05,0.19,0,0,0,0,0,0.05,0,5.72,0,0,,Matches
733,Naïs Djouahra,fr FRA,FWMF,Real Sociedad,es La Liga,22-169,1999,2.2,0,0,0,1.36,1.36,0.45,5,0.45,0.91,0,0,0,7.73,0.91,0.45,66.7,Matches
734,Marko Dmitrovi?,rs SRB,GK,Sevilla,es La Liga,30-107,1992,5,0,0,0,0,0.2,0,0,0,0,0,0,0,5,0,0,,Matches
735,Lewis Dobbin,eng ENG,FWMF,Everton,eng Premier League,19-128,2003,0.4,2.5,0,0,0,2.5,0,2.5,2.5,5,0,0,0,5,0,15,0,Matches
736,Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,30-115,1992,9.7,0,0,0,1.44,0.41,0,2.06,1.75,1.24,0,0,0,7.42,1.75,0.93,65.4,Matches
737,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,19-349,2002,4.9,0.41,0,0,1.63,3.06,0,3.06,1.02,0.41,0,0,0,6.94,0.61,1.43,30,Matches
738,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,24-217,1997,16.6,0,0,0,2.05,1.69,0.18,0.18,0.48,0.6,0,0,0,2.71,1.51,1.99,43.1,Matches
739,Jaume Doménech,es ESP,GK,Valencia,es La Liga,31-187,1990,2.8,0.36,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,,Matches
740,Brandon Domingues,fr FRA,MFFW,Troyes,fr Ligue 1,21-339,2000,2.6,0,0,0,1.54,3.46,0,2.69,1.15,0.77,0,0,0,6.15,0,0.77,0,Matches
741,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,21-130,2001,3.5,0.29,0,0,0.86,1.14,0,0,1.71,0.86,0,0.29,0,8.57,2.86,1.43,66.7,Matches
742,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,23-317,1998,21.4,0.37,0,0,1.5,1.96,0,0.37,2.1,2.15,0,0,0,11.6,1.45,1.45,50,Matches
743,Lee Dongjun,kr KOR,MF,Hertha BSC,de Bundesliga,25-099,1997,1.3,0,0,0,1.54,2.31,0.77,1.54,1.54,0.77,0,0,0,8.46,0,0.77,0,Matches
744,Anastasios Donis,gr GRE,FWMF,Reims,fr Ligue 1,25-255,1996,4.1,0,0.24,0,2.2,0.73,1.95,4.39,0.73,1.71,0,0,0,4.88,0.49,1.71,22.2,Matches
745,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,23-075,1999,16,0.19,0,0,0,0.13,0,0,0,0,0,0,0,3.81,0,0,,Matches
746,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,24-116,1998,25.4,0.31,0,0,2.44,2.2,0,0.08,2.44,2.05,0,0,0,11.9,0.79,0.63,55.6,Matches
747,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,24-143,1997,31.4,0.25,0.03,0.03,0.76,1.24,0.03,0.13,1.08,1.08,0,0,0,7.68,2.13,1.15,65,Matches
748,Jodel Dossou,bj BEN,FW,Clermont Foot,fr Ligue 1,30-055,1992,21.3,0.19,0,0,1.22,1.78,0.66,2.11,0.52,1.03,0,0,0,5.35,0.28,0.89,24,Matches
749,Lucas Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,18-279,2003,18.9,0.37,0,0,2.12,1.43,0,0.37,1.38,1.9,0,0.05,0,11.1,0.9,1.11,44.7,Matches
750,Lohann Doucet,fr FRA,MF,Nantes,fr Ligue 1,19-239,2002,0.1,0,0,0,0,0,0,0,10,0,0,0,0,40,0,10,0,Matches
751,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,29-130,1993,24.8,0.2,0,0,1.9,0.77,0.04,0.24,1.45,1.57,0,0,0,12.3,1.61,1.9,46,Matches
752,Cheick Doucouré,ml MLI,MF,Lens,fr Ligue 1,22-123,2000,30.7,0.23,0.03,0,1.5,0.88,0,0.1,2.25,2.05,0,0,0,9.28,0.72,0.72,50,Matches
753,Fodé Doucouré,ml MLI,DF,Reims,fr Ligue 1,21-097,2001,1.7,0,0,0,0.59,0.59,0,1.76,2.94,3.53,0,0,0,8.24,0.59,2.35,20,Matches
754,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,18-291,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,40,Matches
755,Kamory Doumbia,fr FRA,MFFW,Reims,fr Ligue 1,19-082,2003,2,0.5,0,0,1,1.5,0.5,1,2.5,2.5,0,0,0,6,1.5,1.5,50,Matches
756,Moussa Doumbia,ml MLI,FW,Reims,fr Ligue 1,27-269,1994,1,0,0,0,0,4,1,1,0,0,0,0,0,5,0,4,0,Matches
757,Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,25-229,1996,23.7,0.42,0.04,0,0.8,1.1,0.04,1.69,2.32,0.93,0,0.08,0,5.49,0.72,0.68,51.5,Matches
758,Kieran Dowell,eng ENG,FWMF,Norwich City,eng Premier League,24-213,1997,8.6,0,0,0,3.02,0.47,0,2.21,0.81,0.81,0,0,0,4.88,1.4,2.67,34.3,Matches
759,Bart?omiej Dr?gowski,pl POL,GK,Fiorentina,it Serie A,24-265,1997,6.2,0,0.16,0,0,0.16,0,0,0,0,0,0,0,4.52,0,0,,Matches
760,Radu Dr?gu?in,ro ROU,DF,Sampdoria,it Serie A,20-097,2002,6.9,0.14,0,0,1.3,0.72,0.14,0.43,1.88,0.29,0,0,0,11.9,2.46,1.16,68,Matches
761,Radu Dr?gu?in,ro ROU,DF,Salernitana,it Serie A,20-097,2002,5.4,0.19,0,0,0.56,0.93,0,0,3.89,0.74,0,0,0,7.04,1.3,2.04,38.9,Matches
762,Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,20-154,2001,1.4,0.71,0,0,1.43,0,0,1.43,2.14,2.14,0,0,0,6.43,0,1.43,0,Matches
763,Julian Draxler,de GER,FWMF,Paris S-G,fr Ligue 1,28-233,1993,6.1,0,0,0,0.82,0.16,0.16,0.66,0.66,0.66,0,0,0,4.26,0.33,0.66,33.3,Matches
764,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,33-052,1989,14,0,0,0,0,0.07,0,0,0,0,0,0,0,3.64,0,0,,Matches
765,Domingos Duarte,pt POR,DF,Granada,es La Liga,27-062,1995,16.7,0.42,0.06,0,1.62,0.9,0,0,1.44,0.48,0,0.18,0,10.2,2.51,1.56,61.8,Matches
766,Óscar Duarte,cr CRC,DF,Levante,es La Liga,32-342,1989,18.7,0.21,0,0,1.5,0.27,0.11,0,1.44,0.75,0,0,0,10.4,4.49,1.93,70,Matches
767,Rubén Duarte,es ESP,DF,Alavés,es La Liga,26-205,1995,26.6,0.45,0.04,0.04,1.69,1.5,0.08,2.67,2.29,1.43,0.04,0.04,0,9.51,2.37,1.58,60,Matches
768,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,27-239,1994,19.4,0.26,0,0,0.98,0.77,0.05,2.99,1.44,1.91,0.05,0,0,7.16,0.93,1.19,43.9,Matches
769,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,33-116,1989,24,0.04,0,0,0,0.25,0,0,0,0,0,0,0,4.08,0,0,,Matches
770,Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,27-157,1994,17.8,0.28,0,0,2.36,2.02,0,0.73,1.57,1.01,0,0,0,8.99,1.4,2.08,40.3,Matches
771,Jeremy Dudziak,tn TUN,MFFW,Greuther Fürth,de Bundesliga,26-256,1995,12.6,0.08,0,0,1.11,2.14,0.24,1.83,1.27,1.03,0.16,0,0,6.67,1.27,1.67,43.2,Matches
772,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,30-130,1992,16,0.44,0,0,1.25,0.44,0.06,0,1.13,0.56,0,0,0,9.5,5.06,1.44,77.9,Matches
773,Unai Dufur,es ESP,DF,Osasuna,es La Liga,23-130,1999,1,0,0,0,1,0,0,0,3,1,0,0,0,13,5,2,71.4,Matches
774,Denzel Dumfries,nl NED,DF,Inter,it Serie A,26-023,1996,21.2,0.14,0,0,1.56,1.98,0.19,2.41,1.13,1.08,0.09,0.05,0,5.8,2.69,1.79,60,Matches
775,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,30-227,1991,2.2,0.91,0,0,1.82,1.36,0,1.36,1.82,1.82,0,0,0,4.55,1.36,1.36,50,Matches
776,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,29-062,1993,20,0.15,0,0,1.3,0.6,0,1.15,1,1.05,0,0,0,6.6,0.7,0.9,43.8,Matches
777,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,30-171,1991,26.6,0.11,0.04,0,0.3,0.19,0,0.19,1.65,0.41,0,0,0,8.76,3.23,1.62,66.7,Matches
778,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,29-364,1992,5.3,0.19,0,0,0.57,1.32,0,2.45,2.08,1.13,0,0,0,7.92,0.75,1.89,28.6,Matches
779,Hugo Duro,es ESP,DFMF,Getafe,es La Liga,22-182,1999,0.1,0,0,0,10,10,0,0,0,0,0,0,0,10,10,10,50,Matches
